"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Algeria","Female","2007","IPU_Women in National Parliaments_Sep2007","Percent","3","1"
"Algeria","Female","2006","IPU_Women in National Parliaments_Sep2007","Percent","3","2"
"Algeria","Female","2005","IPU_Women in National Parliaments_Sep2007","Percent","3","3"
"Algeria","Female","2004","IPU_Women in National Parliaments_Sep2007","Percent","19","4"
"Algeria","Female","2003","IPU_Women in National Parliaments_Sep2007","Percent","6","5"
"Algeria","Female","2002","IPU_Women in National Parliaments_Sep2007","Percent","6","6"
"Algeria","Female","2001","IPU_Women in National Parliaments_Sep2007","Percent","6","7"
"Algeria","Female","2000","IPU_Women in National Parliaments_Sep2007","Percent","6","8"
"Algeria","Female","1999","IPU_Women in National Parliaments_Sep2007","Percent","6","9"
"Algeria","Female","1998","IPU_Women in National Parliaments_Sep2007","Percent","6","10"
"Burkina Faso","Female","2001","IPU_Women in National Parliaments_Sep2007","Percent","13","7"
"Burkina Faso","Female","2000","IPU_Women in National Parliaments_Sep2007","Percent","12","8"
"Burkina Faso","Female","1999","IPU_Women in National Parliaments_Sep2007","Percent","12","9"
"Burkina Faso","Female","1998","IPU_Women in National Parliaments_Sep2007","Percent","12","10"
"Burkina Faso","Female","1997","IPU_Women in National Parliaments_Sep2007","Percent","12","11"
"Burundi","Female","2007","IPU_Women in National Parliaments_Sep2007","Percent","35","1"
"Burundi","Female","2006","IPU_Women in National Parliaments_Sep2007","Percent","35","2"
"Burundi","Female","2005","IPU_Women in National Parliaments_Sep2007","Percent","33","3"
"Burundi","Female","2004","IPU_Women in National Parliaments_Sep2007","Percent","19","4"
"Burundi","Female","2003","IPU_Women in National Parliaments_Sep2007","Percent","19","5"
"Congo","Female","2007","IPU_Women in National Parliaments_Sep2007","Percent","13","1"
"Congo","Female","2006","IPU_Women in National Parliaments_Sep2007","Percent","13","2"
"Congo","Female","2005","IPU_Women in National Parliaments_Sep2007","Percent","15","3"
"Congo","Female","2004","IPU_Women in National Parliaments_Sep2007","Percent","15","4"
"Congo","Female","2003","IPU_Women in National Parliaments_Sep2007","Percent","15","5"
"Congo","Female","1997","IPU_Women in National Parliaments_Sep2007","Percent","3","11"
"Congo Dem. Rep.","Female","2007","IPU_Women in National Parliaments_Sep2007","Percent","5","1"
"Congo Dem. Rep.","Female","2006","IPU_Women in National Parliaments_Sep2007","Percent","3","2"
"Congo Dem. Rep.","Female","2005","IPU_Women in National Parliaments_Sep2007","Percent","3","3"
"Congo Dem. Rep.","Female","2004","IPU_Women in National Parliaments_Sep2007","Percent","3","4"
"Egypt","Female","2006","IPU_Women in National Parliaments_Sep2007","Percent","7","2"
"Egypt","Female","2005","IPU_Women in National Parliaments_Sep2007","Percent","7","3"
"Egypt","Female","2004","IPU_Women in National Parliaments_Sep2007","Percent","6","4"
"Egypt","Female","2003","IPU_Women in National Parliaments_Sep2007","Percent","6","5"
"Ethiopia","Female","2007","IPU_Women in National Parliaments_Sep2007","Percent","19","1"
"Ethiopia","Female","2006","IPU_Women in National Parliaments_Sep2007","Percent","19","2"
"Ethiopia","Female","2005","IPU_Women in National Parliaments_Sep2007","Percent","8","3"
"Ethiopia","Female","2004","IPU_Women in National Parliaments_Sep2007","Percent","8","4"
"Ethiopia","Female","2003","IPU_Women in National Parliaments_Sep2007","Percent","8","5"
"Ethiopia","Female","2002","IPU_Women in National Parliaments_Sep2007","Percent","8","6"
"Ethiopia","Female","2001","IPU_Women in National Parliaments_Sep2007","Percent","8","7"
"Gabon","Female","2007","IPU_Women in National Parliaments_Sep2007","Percent","15","1"
"Gabon","Female","2006","IPU_Women in National Parliaments_Sep2007","Percent","15","2"
"Gabon","Female","2005","IPU_Women in National Parliaments_Sep2007","Percent","15","3"
"Gabon","Female","2004","IPU_Women in National Parliaments_Sep2007","Percent","15","4"
"Gabon","Female","2003","IPU_Women in National Parliaments_Sep2007","Percent","13","5"
"Gabon","Female","2002","IPU_Women in National Parliaments_Sep2007","Percent","13","6"
"Gabon","Female","2001","IPU_Women in National Parliaments_Sep2007","Percent","13","7"
"Gabon","Female","2000","IPU_Women in National Parliaments_Sep2007","Percent","13","8"
"Gabon","Female","1999","IPU_Women in National Parliaments_Sep2007","Percent","11","9"
